,name,year,selling_price,km_driven,fuel,owner,seats,max_power (in bph),Mileage(KMPL),Engine (CC)
0,Maruti,2014,450000,145500,Diesel,First Owner,5,74.0,23.4,1248
1,Hyundai,2010,225000,127000,Diesel,First Owner,5,90.0,23.0,1396
2,Hyundai,2017,440000,45000,Petrol,First Owner,5,81.86,20.14,1197
3,Toyota,2011,350000,90000,Diesel,First Owner,5,67.1,23.59,1364
4,Ford,2013,200000,169000,Diesel,First Owner,5,68.1,20.0,1399
5,Hyundai,2012,500000,53000,Diesel,Second Owner,5,90.0,23.0,1396
6,Maruti,2002,150000,80000,Petrol,Second Owner,5,46.3,19.7,796
7,Hyundai,2016,680000,100000,Diesel,First Owner,5,88.73,22.54,1396
8,Mahindra,2011,174000,100000,Diesel,Second Owner,5,64.1,21.0,1461
9,Maruti,2012,600000,72000,Diesel,First Owner,5,88.8,21.5,1248
10,Tata,2018,500000,35000,Petrol,First Owner,5,83.81,20.3,1199
11,Maruti,2016,575000,45000,Petrol,First Owner,5,83.1,21.4,1197
12,Maruti,2018,850000,64000,Petrol,First Owner,5,103.25,20.65,1462
13,Tata,2011,265000,120000,Diesel,First Owner,5,88.8,21.12,1248
14,Hyundai,2011,190000,110000,Petrol,Third Owner,5,78.9,20.36,1197
15,Hyundai,2013,425000,60000,Diesel,First Owner,5,88.76,21.27,1396
16,Maruti,2019,650000,30000,Petrol,First Owner,5,83.1,21.4,1197
17,Volkswagen,2016,540000,40000,Diesel,First Owner,5,108.495,22.0,1498
18,Maruti,2018,448000,30000,Petrol,First Owner,5,67.0,20.51,998
19,Volkswagen,2017,500000,80000,Diesel,First Owner,5,108.62,21.66,1498
20,Hyundai,2011,235000,60000,Petrol,Second Owner,5,78.9,20.36,1197
21,Maruti,2013,450000,120000,Diesel,Second Owner,5,74.0,22.9,1248
22,Volkswagen,2013,450000,170000,Diesel,First Owner,5,103.6,20.54,1598
23,Ford,2015,610000,90000,Diesel,First Owner,5,98.59,22.77,1498
24,Maruti,2017,484999,10000,Petrol,First Owner,5,67.04,23.1,998
25,Hyundai,2012,290000,28000,Petrol,First Owner,5,68.05,19.81,1086
26,Hyundai,2015,351000,45000,Petrol,Second Owner,5,68.05,19.81,1086
27,Maruti,2008,120000,68000,Petrol,Third Owner,5,46.3,19.7,796
28,Hyundai,2017,725000,110000,Diesel,First Owner,5,88.73,22.54,1396
29,Maruti,2009,185000,77000,Petrol,Second Owner,5,67.05,21.79,998
30,Maruti,2019,615000,10000,Petrol,First Owner,5,81.8,21.21,1197
31,Maruti,2018,610000,35000,Petrol,First Owner,5,83.1,21.4,1197
32,Hyundai,2013,522000,150000,Diesel,Second Owner,5,126.32,22.32,1582
33,Hyundai,2013,451999,69000,Diesel,First Owner,5,88.76,21.9,1396
34,Maruti,2020,475000,13000,Petrol,First Owner,5,67.04,21.63,998
35,Maruti,2017,595000,40000,Petrol,First Owner,5,83.14,20.85,1197
36,Maruti,2017,440000,35000,Petrol,First Owner,5,67.04,20.51,998
37,Hyundai,2016,1140000,50000,Diesel,First Owner,5,126.2,19.67,1582
38,Ford,2017,850000,76139,Diesel,First Owner,5,98.96,23.0,1498
39,Renault,2018,350000,25000,Petrol,First Owner,5,67.0,23.01,999
40,Maruti,2015,360000,40000,Petrol,Second Owner,5,67.04,23.1,998
41,Maruti,2008,105000,65000,Petrol,Fourth & Above Owner,5,46.3,19.7,796
42,Maruti,2013,625000,90000,Diesel,Second Owner,7,88.76,20.77,1248
